
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:55217        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55219        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55220        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55221        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55222        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55223        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55224        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55225        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55226        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55227        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55228        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55229        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55230        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55231        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55232        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55233        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55234        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55235        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55236        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55237        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55238        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55239        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55240        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55242        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55243        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55244        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55245        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55246        127.0.0.1:64639        ESTABLISHED     26656
  TCP    127.0.0.1:55247        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55248        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55249        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55250        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55251        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:55252        127.0.0.1:49350        FIN_WAIT_2      2396
  TCP    127.0.0.1:55253        127.0.0.1:49350        FIN_WAIT_2      2396
  TCP    127.0.0.1:55254        127.0.0.1:49350        FIN_WAIT_2      2396
  TCP    127.0.0.1:55255        127.0.0.1:49350        FIN_WAIT_2      2396
  TCP    127.0.0.1:55256        127.0.0.1:49350        FIN_WAIT_2      2396
  TCP    127.0.0.1:55257        127.0.0.1:49350        FIN_WAIT_2      2396
  TCP    127.0.0.1:55258        127.0.0.1:49350        FIN_WAIT_2      2396
  TCP    127.0.0.1:55881        127.0.0.1:64639        TIME_WAIT       0
  TCP    127.0.0.1:56166        127.0.0.1:64639        TIME_WAIT       0
  TCP    127.0.0.1:56225        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56226        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56227        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56228        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56229        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56230        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56231        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56232        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56233        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56234        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56235        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56236        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56237        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56238        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56239        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56240        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56241        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56242        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56243        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56244        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56245        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56246        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56247        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56248        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56250        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56251        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56256        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56257        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56258        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56259        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56260        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56261        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56262        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56263        127.0.0.1:49350        TIME_WAIT       0
