
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  10712 Services                   0      3,964 K
svchost.exe                   4708 Services                   0      7,724 K
svchost.exe                   8592 Services                   0     18,396 K
svchost.exe                  15136 Services                   0      6,316 K
svchost.exe                   9624 Services                   0      1,404 K
svchost.exe                  13876 Services                   0      1,708 K
svchost.exe                   5764 Services                   0      3,040 K
svchost.exe                   4064 Services                   0      2,408 K
svchost.exe                   9112 Services                   0      7,524 K
svchost.exe                  16704 Services                   0      1,532 K
spacedeskService.exe         19264 Services                   0      2,344 K
WUDFHost.exe                 19148 Services                   0      2,408 K
svchost.exe                  17208 Services                   0      2,880 K
conhost.exe                    628 Services                   0      1,296 K
esrv.exe                      1608 Services                   0      7,696 K
svchost.exe                  11316 Services                   0      1,236 K
svchost.exe                  16908 Services                   0      1,796 K
vmcompute.exe                19776 Services                   0      5,576 K
svchost.exe                  19596 Services                   0      1,092 K
WmiPrvSE.exe                 12728 Services                   0     27,560 K
svchost.exe                    868 Services                   0      1,836 K
esrv_svc.exe                  2396 Services                   0     47,716 K
WmiApSrv.exe                 12620 Services                   0      2,192 K
svchost.exe                  14672 Services                   0      4,184 K
svchost.exe                  27972 Services                   0      2,716 K
csrss.exe                     6908 Console                    6      3,472 K
winlogon.exe                 21956 Console                    6      3,524 K
fontdrvhost.exe              24880 Console                    6      1,292 K
dwm.exe                      10400 Console                    6     56,592 K
spacedeskServiceTray.exe     13240 Console                    6      2,572 K
sihost.exe                   24752 Console                    6     21,648 K
SECOCL64.exe                 17840 Console                    6      1,688 K
conhost.exe                  26036 Console                    6        984 K
svchost.exe                  28060 Console                    6      9,180 K
SynTPEnh.exe                 27184 Console                    6      8,316 K
svchost.exe                  10248 Console                    6      2,108 K
igfxEM.exe                   22220 Console                    6      5,016 K
svchost.exe                  15368 Console                    6     23,484 K
taskhostw.exe                20308 Console                    6      8,792 K
explorer.exe                 28340 Console                    6   1,14,028 K
ShellHost.exe                15388 Console                    6     13,416 K
CrossDeviceResume.exe         4024 Console                    6      7,348 K
svchost.exe                  26700 Console                    6     17,020 K
SearchHost.exe               17856 Console                    6     29,832 K
StartMenuExperienceHost.e    26956 Console                    6     71,264 K
RuntimeBroker.exe            24708 Console                    6     10,560 K
svchost.exe                  22524 Console                    6      5,040 K
Widgets.exe                  30328 Console                    6     34,380 K
